issue,experiment_slug,variant,seed,metric,value,params,date
97,002-momentum-collapse-boundary,full_m0.9999,2,effective_rank,1.4760,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,embedding_std,0.2431,"{""momentum"":0.9999,""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,effective_rank,1.4097,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,embedding_std,0.2913,"{""momentum"":0.9999,""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,effective_rank,1.8776,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,full_m0.9999,2,embedding_std,0.5481,"{""momentum"":0.9999,""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,effective_rank,1.6142,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,embedding_std,0.2498,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,effective_rank,1.4691,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,embedding_std,0.3906,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,effective_rank,1.3886,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,embedding_std,0.4779,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,effective_rank,1.3359,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,0,embedding_std,0.5196,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,effective_rank,1.7059,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,embedding_std,0.3177,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,effective_rank,1.5428,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,embedding_std,0.4065,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,effective_rank,1.4588,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,embedding_std,0.3439,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,effective_rank,1.3875,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,1,embedding_std,0.3379,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,effective_rank,1.6002,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,embedding_std,0.2518,"{""steps"":300}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,effective_rank,1.3895,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,embedding_std,0.2074,"{""steps"":1000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,effective_rank,1.2498,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,embedding_std,0.1640,"{""steps"":3000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,effective_rank,1.1823,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,no_ema,2,embedding_std,0.1729,"{""steps"":6000}",2026-08-14
97,002-momentum-collapse-boundary,random_init,0,effective_rank,2.9338,"{""steps"":0}",2026-08-14
97,002-momentum-collapse-boundary,random_init,0,embedding_std,0.0179,"{""steps"":0}",2026-08-14
97,002-momentum-collapse-boundary,random_init,1,effective_rank,2.4608,"{""steps"":0}",2026-08-14
97,002-momentum-collapse-boundary,random_init,1,embedding_std,0.0156,"{""steps"":0}",2026-08-14
97,002-momentum-collapse-boundary,random_init,2,effective_rank,2.4372,"{""steps"":0}",2026-08-14
97,002-momentum-collapse-boundary,random_init,2,embedding_std,0.0114,"{""steps"":0}",2026-08-14
